  id  |         bucket         | action | confidence |                                                           reason                                                            |          decided_at           | symbol 
 3987 | 2026-01-05 18:51:00+00 | HOLD   |      0.700 | Current trend unclear, recent EMA(9) crossing above EMA(21), caution advised.                                               | 2026-01-05 18:53:42.537437+00 | BTC
 3988 | 2026-01-05 18:52:00+00 | HOLD   |      0.500 | Uncertainty in short-term trend, need more data                                                                             | 2026-01-05 18:53:50.124625+00 | BTC
 3989 | 2026-01-05 18:53:00+00 | HOLD   |      0.750 | Insufficient clear trend indication within recent candles                                                                   | 2026-01-05 18:54:01.038617+00 | BTC
 3990 | 2026-01-05 18:56:00+00 | HOLD   |      0.700 | Market is trending down, waiting for a bullish reversal signal.                                                             | 2026-01-05 18:56:20.136667+00 | BTC
 3991 | 2026-01-05 18:57:00+00 | HOLD   |      0.500 | Insufficient data to make a confident decision                                                                              | 2026-01-05 18:57:19.927056+00 | BTC
 3992 | 2026-01-05 18:58:00+00 | HOLD   |      0.500 | Market momentum is uncertain based on the given candles.                                                                    | 2026-01-05 18:58:19.439607+00 | BTC
 3993 | 2026-01-05 19:02:00+00 | HOLD   |      0.500 | Insufficient trading signals for a confident decision                                                                       | 2026-01-05 19:03:00.498912+00 | BTC
 3994 | 2026-01-05 19:04:00+00 | HOLD   |      0.500 | Insufficient information to determine a clear trend.                                                                        | 2026-01-05 19:04:19.153904+00 | BTC
 3995 | 2026-01-05 19:05:00+00 | HOLD   |      0.500 | Insufficient market movement to justify action.                                                                             | 2026-01-05 19:05:18.185767+00 | BTC
 3996 | 2026-01-05 19:16:00+00 | HOLD   |      0.700 | Momentum indicators suggest neutral conditions                                                                              | 2026-01-05 19:16:36.472582+00 | BTC
 3997 | 2026-01-05 19:17:00+00 | HOLD   |      0.500 | Recent momentum has slowed, but no clear signs of trend failure or exhaustion.                                              | 2026-01-05 19:17:20.971529+00 | BTC
 3998 | 2026-01-05 19:18:00+00 | HOLD   |      0.750 | Neutral short-term momentum and no clear sell signals.                                                                      | 2026-01-05 19:18:19.135313+00 | BTC
 3999 | 2026-01-05 19:19:00+00 | HOLD   |      0.800 | Current short-term momentum and indicators suggest a continuation of the trend.                                             | 2026-01-05 19:19:18.238645+00 | BTC
 4000 | 2026-01-05 19:20:00+00 | HOLD   |      1.000 | Current trend remains intact, no clear selling signals                                                                      | 2026-01-05 19:20:15.237086+00 | BTC
 4001 | 2026-01-05 19:21:00+00 | HOLD   |      0.700 | No clear signs of trend failure or exhaustion, preferring to hold for now.                                                  | 2026-01-05 19:21:22.125782+00 | BTC
 4002 | 2026-01-05 19:22:00+00 | HOLD   |      1.000 | Price remains stable within established trading range                                                                       | 2026-01-05 19:22:19.141875+00 | BTC
 4003 | 2026-01-05 19:23:00+00 | HOLD   |      0.800 | Trend line support intact, recent consolidation suggests holding position.                                                  | 2026-01-05 19:23:20.222563+00 | BTC
 4004 | 2026-01-05 19:24:00+00 | HOLD   |      0.800 | Momentum is still strong and price action suggests consolidation                                                            | 2026-01-05 19:24:19.438109+00 | BTC
 4005 | 2026-01-05 19:25:00+00 | HOLD   |      0.800 | No clear signs of trend failure or exhaustion in recent candles                                                             | 2026-01-05 19:25:18.242643+00 | BTC
 4006 | 2026-01-05 19:26:00+00 | HOLD   |      0.500 | Current momentum and indicators suggest a cautious approach, neither indicating strong sell signals nor clear buy triggers. | 2026-01-05 19:26:19.490035+00 | BTC
 4007 | 2026-01-05 19:27:00+00 | HOLD   |      1.000 | No clear evidence of weakening momentum or exhaustion to warrant a SELL.                                                    | 2026-01-05 19:27:21.177099+00 | BTC
 4008 | 2026-01-05 19:28:00+00 | HOLD   |      0.830 | The short-term trend remains bullish, but momentum has weakened slightly.                                                   | 2026-01-05 19:28:19.712761+00 | BTC
 4009 | 2026-01-05 19:29:00+00 | HOLD   |      0.700 | recent candles show mixed momentum, no clear signs of trend failure or exhaustion                                           | 2026-01-05 19:29:21.046363+00 | BTC
 4010 | 2026-01-05 19:30:00+00 | HOLD   |      0.800 | Trend momentum still intact, no clear signs of exhaustion or weakening.                                                     | 2026-01-05 19:30:20.487282+00 | BTC
 4011 | 2026-01-05 19:31:00+00 | HOLD   |      0.800 | Trend holding above 50-period EMA, RSI not overbought.                                                                      | 2026-01-05 19:31:34.05612+00  | BTC
 4012 | 2026-01-05 19:32:00+00 | HOLD   |      0.800 | The RSI indicator is overbought and showing signs of potential exhaustion                                                   | 2026-01-05 19:32:19.051501+00 | BTC
 4013 | 2026-01-05 19:33:00+00 | HOLD   |      0.500 | No clear trend or momentum to justify action                                                                                | 2026-01-05 19:33:19.785808+00 | BTC
 4014 | 2026-01-05 19:34:00+00 | HOLD   |      0.800 | Momentum has weakened since yesterday's high                                                                                | 2026-01-05 19:42:01.368626+00 | BTC
 4015 | 2026-01-05 19:38:00+00 | HOLD   |      0.500 | No clear trend or momentum evident in recent candles                                                                        | 2026-01-05 19:47:48.354994+00 | BTC
 4016 | 2026-01-05 19:43:00+00 | HOLD   |      0.850 | Momentum has been maintained for the past three minutes                                                                     | 2026-01-05 19:47:58.076387+00 | BTC
 4017 | 2026-01-05 19:44:00+00 | HOLD   |      0.700 | No clear reason to exit or enter a position                                                                                 | 2026-01-05 19:48:09.702982+00 | BTC
 4018 | 2026-01-05 19:45:00+00 | HOLD   |      1.000 | No clear indication to exit or enter a position                                                                             | 2026-01-05 19:48:19.228955+00 | BTC
 4019 | 2026-01-05 19:46:00+00 | HOLD   |      0.750 | Recent candles show consolidation, no clear buy signal                                                                      | 2026-01-05 19:48:30.393014+00 | BTC
 4020 | 2026-01-05 19:47:00+00 | HOLD   |      0.800 | Recent short-term momentum and indicators suggest holding the current position                                              | 2026-01-05 19:48:43.112818+00 | BTC
 4021 | 2026-01-05 19:48:00+00 | HOLD   |      0.800 | Candlestick pattern indicates consolidation, holding current position.                                                      | 2026-01-05 19:48:51.843042+00 | BTC
 4022 | 2026-01-05 19:49:00+00 | HOLD   |      0.800 | Trend line resistance is holding, momentum remains strong                                                                   | 2026-01-05 19:49:19.502834+00 | BTC
 4023 | 2026-01-05 19:50:00+00 | HOLD   |      0.850 | Momentum is strong and RSI is oversold.                                                                                     | 2026-01-05 19:50:19.435977+00 | BTC
 4024 | 2026-01-05 19:51:00+00 | HOLD   |      0.750 | Recent candles show weakening momentum with decreasing volume and a failed attempt to break resistance                      | 2026-01-05 19:51:28.898098+00 | BTC
 4025 | 2026-01-05 19:52:00+00 | HOLD   |      0.800 | Candlestick patterns and indicators indicate no strong sell signals, prefer holding current position.                       | 2026-01-05 19:52:21.36257+00  | BTC
 4026 | 2026-01-05 19:53:00+00 | HOLD   |      0.800 | Closing prices are above MA100 and RSI is not overbought.                                                                   | 2026-01-05 19:55:27.432402+00 | BTC
 4027 | 2026-01-05 19:54:00+00 | HOLD   |      0.900 | Momentum has been consistent, no clear signs of trend failure.                                                              | 2026-01-05 19:55:41.170123+00 | BTC
 4028 | 2026-01-05 19:55:00+00 | HOLD   |      0.800 | Trend is still upward, no clear sell signal                                                                                 | 2026-01-05 19:55:50.015016+00 | BTC
 4029 | 2026-01-05 19:56:00+00 | HOLD   |      0.600 | Recent candles show neutral bias, no clear signals to exit current position or enter a new one.                             | 2026-01-05 19:56:21.611565+00 | BTC
 4030 | 2026-01-05 19:57:00+00 | HOLD   |      0.850 | Price has maintained above the MA200 and RSI is still in an overbought zone                                                 | 2026-01-05 19:57:22.880737+00 | BTC
 4031 | 2026-01-05 19:58:00+00 | HOLD   |      0.800 | No clear evidence of weakening momentum or exhaustion in current trend.                                                     | 2026-01-05 20:05:10.663068+00 | BTC
 4032 | 2026-01-05 20:01:00+00 | HOLD   |      0.700 | Momentum remains strong with a stable RSI and increasing MACD, no clear signs of exhaustion.                                | 2026-01-05 20:05:26.410422+00 | BTC
 4033 | 2026-01-05 20:02:00+00 | HOLD   |      0.800 | Candlestick patterns indicate a neutral trend and there are no clear signs of exhaustion or failure.                        | 2026-01-05 20:05:37.627293+00 | BTC
 4034 | 2026-01-05 20:03:00+00 | HOLD   |      0.850 | The short-term momentum has stabilized, no clear selling opportunity                                                        | 2026-01-05 20:05:51.530853+00 | BTC
 4035 | 2026-01-05 20:04:00+00 | HOLD   |      0.800 | No clear signs of reversal or exhaustion in recent candles                                                                  | 2026-01-05 20:06:01.209847+00 | BTC
 4036 | 2026-01-05 20:05:00+00 | HOLD   |      0.700 | Trend remains upward, no clear signs of exhaustion or reversal                                                              | 2026-01-05 20:06:13.273543+00 | BTC
 4037 | 2026-01-05 20:06:00+00 | HOLD   |      0.800 | The 5-minute RSI is oversold and the 1-hour momentum is waning.                                                             | 2026-01-05 20:06:25.45691+00  | BTC
 4038 | 2026-01-05 20:07:00+00 | HOLD   |      1.000 | No explicit reasoning provided by agent                                                                                     | 2026-01-05 20:07:16.69948+00  | BTC
 4039 | 2026-01-05 20:08:00+00 | HOLD   |      0.700 | Momentum is still upward, but signs of slight weakening are present                                                         | 2026-01-05 20:08:19.358237+00 | BTC
 4040 | 2026-01-05 20:09:00+00 | HOLD   |      0.700 | No clear exit signal, trend remains intact                                                                                  | 2026-01-05 20:09:38.183325+00 | BTC
 4041 | 2026-01-05 20:11:00+00 | HOLD   |      1.000 | Recent momentum has been weak and we are near a possible support level                                                      | 2026-01-05 20:11:20.700691+00 | BTC
 4042 | 2026-01-05 20:12:00+00 | HOLD   |      0.500 | Momentum is stable, no clear signs of trend failure or exhaustion.                                                          | 2026-01-05 20:12:19.895162+00 | BTC
 4043 | 2026-01-05 20:13:00+00 | HOLD   |      1.000 | No explicit reasoning provided by agent                                                                                     | 2026-01-05 20:13:16.088637+00 | BTC
 4044 | 2026-01-05 20:14:00+00 | HOLD   |      0.900 | Price action shows consolidation within a trend channel, with no clear indication to exit or enter.                         | 2026-01-05 20:14:21.273353+00 | BTC
 4045 | 2026-01-05 20:15:00+00 | HOLD   |      0.700 | Recent candles show decreasing momentum and no clear signs of trend reversal.                                               | 2026-01-05 20:15:22.778929+00 | BTC
 4046 | 2026-01-05 20:16:00+00 | HOLD   |      0.800 | Momentum and trend are strong, no clear selling signals.                                                                    | 2026-01-05 20:16:19.724527+00 | BTC
 4047 | 2026-01-05 20:17:00+00 | HOLD   |      1.000 | Trendline intact, no clear reason to act                                                                                    | 2026-01-05 20:17:21.555003+00 | BTC
 4048 | 2026-01-05 20:18:00+00 | HOLD   |      0.800 | No clear signs of weakening momentum or trend failure.                                                                      | 2026-01-05 20:18:19.044043+00 | BTC
 4049 | 2026-01-05 20:19:00+00 | HOLD   |      0.950 | No clear signs of weakening momentum or exhaustion in current trend.                                                        | 2026-01-05 20:19:19.208212+00 | BTC
 4050 | 2026-01-05 20:20:00+00 | HOLD   |      1.000 | No clear reason to act, current trend intact                                                                                | 2026-01-05 20:22:54.104973+00 | BTC
 4051 | 2026-01-05 20:21:00+00 | HOLD   |      0.800 | Recent indicators suggest consolidation rather than significant trend shift.                                                | 2026-01-05 20:23:01.504198+00 | BTC
 4052 | 2026-01-05 20:22:00+00 | HOLD   |      0.800 | Candlestick momentum indicators are neutral, holding a long position.                                                       | 2026-01-05 20:23:14.489273+00 | BTC
 4053 | 2026-01-05 20:23:00+00 | HOLD   |      0.950 | Current momentum remains strong, no clear selling signals.                                                                  | 2026-01-05 20:23:23.18126+00  | BTC
 4054 | 2026-01-05 20:24:00+00 | HOLD   |      0.800 | Candlestick patterns indicate a potential reversal, but momentum is still strong.                                           | 2026-01-05 20:28:02.146321+00 | BTC
 4055 | 2026-01-05 20:25:00+00 | HOLD   |      0.800 | Trend confirmation above key resistance level                                                                               | 2026-01-05 20:28:12.261572+00 | BTC
 4056 | 2026-01-05 20:26:00+00 | HOLD   |      0.800 | Neutral momentum, no clear signals to exit or enter position                                                                | 2026-01-05 20:28:23.564134+00 | BTC
 4057 | 2026-01-05 20:27:00+00 | HOLD   |      0.650 | Recent price action indicates strengthening momentum, no clear signs of exhaustion or trend failure.                        | 2026-01-05 20:28:33.808335+00 | BTC
 4058 | 2026-01-05 20:28:00+00 | HOLD   |      0.500 | Recent candles exhibit mixed momentum; no clear trend reversal                                                              | 2026-01-05 20:28:44.973539+00 | BTC
 4059 | 2026-01-05 20:29:00+00 | HOLD   |      0.900 | No clear buy or sell signal, holding current position                                                                       | 2026-01-05 20:29:19.650684+00 | BTC
 4060 | 2026-01-05 20:30:00+00 | HOLD   |      1.000 | No clear reason to act, current position is suitable                                                                        | 2026-01-05 20:30:19.157094+00 | BTC
 4061 | 2026-01-05 20:31:00+00 | HOLD   |      0.800 | The price has been consolidating for 5 minutes and there's no clear trend reversal signal.                                  | 2026-01-05 20:32:45.041533+00 | BTC
 4062 | 2026-01-05 20:32:00+00 | HOLD   |      0.800 | Bullish momentum maintained, no clear signs of exhaustion.                                                                  | 2026-01-05 20:32:56.893056+00 | BTC
 4063 | 2026-01-05 20:33:00+00 | HOLD   |      0.800 | Candlestick momentum is generally upwards, no clear reason to sell.                                                         | 2026-01-05 20:33:21.882357+00 | BTC
 4064 | 2026-01-05 20:34:00+00 | HOLD   |      0.800 | Momentum remains strong, no clear signs of trend failure or exhaustion.                                                     | 2026-01-05 20:34:22.788973+00 | BTC
 4065 | 2026-01-05 20:35:00+00 | HOLD   |      0.800 | Recent candles show no strong trend or momentum                                                                             | 2026-01-05 20:35:19.327128+00 | BTC
 4066 | 2026-01-05 20:36:00+00 | HOLD   |      0.500 | Price is fluctuating within a narrow range, no clear trend.                                                                 | 2026-01-05 20:36:18.671097+00 | BTC
 4067 | 2026-01-05 20:37:00+00 | HOLD   |      0.800 | No clear indication of weakening momentum or exhaustion.                                                                    | 2026-01-05 20:37:17.968235+00 | BTC
 4068 | 2026-01-05 20:38:00+00 | HOLD   |      0.800 | Recent candlestick patterns indicate a strong trend, no clear signs of exhaustion or weakening momentum                     | 2026-01-05 20:38:20.05361+00  | BTC
 4069 | 2026-01-05 20:39:00+00 | HOLD   |      0.700 | Current momentum is neutral, no clear evidence of trend reversal                                                            | 2026-01-05 20:39:20.243033+00 | BTC
 4070 | 2026-01-05 20:40:00+00 | HOLD   |      0.800 | Momentum has been weakening over the past 5 candles.                                                                        | 2026-01-05 20:40:30.145895+00 | BTC
 4071 | 2026-01-05 20:41:00+00 | HOLD   |      0.800 | No clear trend failure or exhaustion, holding current long position                                                         | 2026-01-05 20:41:20.295542+00 | BTC
 4072 | 2026-01-05 20:42:00+00 | HOLD   |      0.700 | Candlestick momentum and RSI indicate a stabilizing market                                                                  | 2026-01-05 20:47:13.92053+00  | BTC
 4073 | 2026-01-05 20:43:00+00 | HOLD   |      0.800 | Recent candles show strong bullish momentum, with no clear signs of weakening or trend failure.                             | 2026-01-05 20:49:28.233593+00 | BTC
 4074 | 2026-01-05 20:45:00+00 | HOLD   |      0.900 | Stochastic RSI divergence suggests consolidation                                                                            | 2026-01-05 20:49:38.882217+00 | BTC
 4075 | 2026-01-05 20:46:00+00 | HOLD   |      0.850 | Recent candles show consolidation and lack of strong trend momentum, holding current position.                              | 2026-01-05 20:49:49.269984+00 | BTC
 4076 | 2026-01-05 20:47:00+00 | HOLD   |      0.800 | Candles show no clear trend and momentum appears to be stabilizing                                                          | 2026-01-05 20:50:04.414293+00 | BTC
 4077 | 2026-01-05 20:48:00+00 | HOLD   |      0.800 | Recent momentum is strong, no signs of trend reversal.                                                                      | 2026-01-05 20:50:16.804666+00 | BTC
 4078 | 2026-01-05 20:49:00+00 | HOLD   |      0.700 | Candlestick patterns suggest a neutral short-term trend.                                                                    | 2026-01-05 20:50:29.310038+00 | BTC
 4079 | 2026-01-05 20:50:00+00 | HOLD   |      1.000 | No clear indication to exit or enter a position                                                                             | 2026-01-05 20:53:28.041152+00 | BTC
 4080 | 2026-01-05 20:51:00+00 | HOLD   |      0.800 | Current momentum and indicators suggest a HOLD to allow for further trend clarification.                                    | 2026-01-05 20:55:02.058101+00 | BTC
 4081 | 2026-01-05 20:52:00+00 | HOLD   |      0.500 | No clear trend or momentum in recent candles                                                                                | 2026-01-05 20:55:12.199734+00 | BTC
 4082 | 2026-01-05 20:53:00+00 | HOLD   |      0.900 | Trend is steady, no clear indication to exit.                                                                               | 2026-01-05 20:55:22.929202+00 | BTC
 4083 | 2026-01-05 20:54:00+00 | HOLD   |      0.750 | Momentum is neutral, no clear trend or weakening momentum indicators.                                                       | 2026-01-05 20:55:34.542835+00 | BTC
 4084 | 2026-01-05 20:55:00+00 | HOLD   |      1.000 | No clear reason to act                                                                                                      | 2026-01-05 20:55:42.606011+00 | BTC
 4085 | 2026-01-05 20:56:00+00 | HOLD   |      0.900 | Recent momentum indicates no clear trend direction                                                                          | 2026-01-05 20:56:18.66989+00  | BTC
 4086 | 2026-01-05 20:57:00+00 | HOLD   |      0.800 | Momentum is still upwards, no clear signs of exhaustion or trend failure.                                                   | 2026-01-05 20:57:21.22215+00  | BTC
 4087 | 2026-01-05 20:58:00+00 | HOLD   |      0.900 | Candlestick patterns and indicators suggest consolidation, no clear sell signal                                             | 2026-01-05 21:05:39.529409+00 | BTC
 4088 | 2026-01-05 21:02:00+00 | HOLD   |      1.000 | Position is long and momentum is still strong                                                                               | 2026-01-05 21:13:47.737906+00 | BTC
 4089 | 2026-01-05 21:10:00+00 | HOLD   |      0.800 | Momentum has been strong for two candles, no reason to exit                                                                 | 2026-01-05 21:23:07.886315+00 | BTC
 4090 | 2026-01-05 21:19:00+00 | HOLD   |      0.500 | Recent momentum indicators indicate a neutral trend                                                                         | 2026-01-05 21:30:39.504889+00 | BTC
 4091 | 2026-01-05 21:27:00+00 | HOLD   |      1.000 | No clear indication to exit or enter a position based on current indicators and momentum.                                   | 2026-01-05 21:35:21.808108+00 | BTC
 4092 | 2026-01-05 21:31:00+00 | HOLD   |      0.800 | No clear evidence of weakening momentum or trend failure                                                                    | 2026-01-05 21:35:32.388716+00 | BTC
 4093 | 2026-01-05 21:32:00+00 | HOLD   |      1.000 | The momentum of BTC has not weakened and the current trend remains strong, thus HOLDING is the preferred action.            | 2026-01-05 21:35:45.397412+00 | BTC
 4094 | 2026-01-05 21:33:00+00 | HOLD   |      0.750 | Recent candles show consolidating price action, no clear indication to exit or enter.                                       | 2026-01-05 21:35:56.345852+00 | BTC
 4095 | 2026-01-05 21:34:00+00 | HOLD   |      1.000 | No explicit reasoning provided by agent                                                                                     | 2026-01-05 21:36:02.833148+00 | BTC
 4096 | 2026-01-05 21:35:00+00 | HOLD   |      0.900 | No clear buy signal and position is already in a long state.                                                                | 2026-01-05 21:37:47.123192+00 | BTC
 4097 | 2026-01-05 21:36:00+00 | HOLD   |      1.000 | No explicit reasoning provided by agent                                                                                     | 2026-01-05 21:37:54.557942+00 | BTC
 4098 | 2026-01-05 21:37:00+00 | HOLD   |      0.700 | The current momentum appears to be neutral, with no clear signs of trend reversal or exhaustion.                            | 2026-01-05 21:38:06.895226+00 | BTC
 4099 | 2026-01-05 21:38:00+00 | HOLD   |      0.800 | Momentum appears to be stable, and there is no clear indication for a SELL or BUY signal                                    | 2026-01-05 21:38:22.20745+00  | BTC
 4100 | 2026-01-05 21:39:00+00 | HOLD   |      0.800 | Price has been consolidating within a narrow range for several minutes                                                      | 2026-01-05 21:39:33.447765+00 | BTC
 4101 | 2026-01-05 21:40:00+00 | HOLD   |      0.800 | Short-term trend indicators show a weak signal to sell, but the overall momentum is still strong.                           | 2026-01-05 21:40:21.154378+00 | BTC
 4102 | 2026-01-05 21:41:00+00 | HOLD   |      0.600 | Price has been trending upward for 5 minutes with no clear signs of weakening momentum.                                     | 2026-01-05 21:41:21.916641+00 | BTC
 4103 | 2026-01-05 21:42:00+00 | HOLD   |      0.900 | No clear indication of trend failure or exhaustion.                                                                         | 2026-01-05 21:42:19.262089+00 | BTC
 4104 | 2026-01-05 21:43:00+00 | HOLD   |      0.700 | No clear trend reversal or momentum shift in recent candles.                                                                | 2026-01-05 21:43:19.835298+00 | BTC
 4105 | 2026-01-05 21:44:00+00 | HOLD   |      0.900 | Momentum still intact, waiting for a clear sign of exhaustion.                                                              | 2026-01-05 21:44:20.27232+00  | BTC
 4106 | 2026-01-05 21:45:00+00 | HOLD   |      0.900 | Recent RSI divergence and weakening momentum suggest holding current position                                               | 2026-01-05 21:45:18.038422+00 | BTC
(132 rows)

